GEOID20,C_TOT15,C_NHS15,C_AIA15,C_ASN15,C_BLK15,C_NHP15,C_WHT15,C_AIW15,C_ASW15,C_BLW15,C_AIB15,C_2OM15,C_HSP15,CVAP_TOT15,CVAP_NHS15,CVAP_AIA15,CVAP_ASN15,CVAP_BLK15,CVAP_NHP15,CVAP_WHT15,CVAP_AIW15,CVAP_ASW15,CVAP_BLW15,CVAP_AIB15,CVAP_2OM15,CVAP_HSP15
150010201002025,20,21,1,8,0,1,6,0,0,0,0,3,0,21,21,1,8,0,1,6,0,0,0,0,3,0
150010201002026,11,11,1,2,0,1,4,0,1,0,0,2,0,9,9,0,2,0,1,5,0,0,0,0,1,0
150010201002027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201002028,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
150010201002029,7,7,0,3,0,0,5,0,0,0,0,0,0,8,8,0,3,0,0,5,0,0,0,0,0,0
150010201002030,49,45,2,9,0,1,21,4,4,0,0,10,4,43,40,2,8,0,1,20,3,2,0,0,9,3
150010201002031,12,11,1,4,0,0,4,0,0,0,0,2,1,12,12,1,4,0,0,5,0,0,0,0,2,0
150010201002032,7,6,0,1,0,0,4,0,0,0,0,0,1,6,5,0,0,0,1,5,0,0,0,0,0,1
150010201002033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201002034,7,7,0,0,0,0,9,0,0,0,0,0,0,8,8,0,0,0,0,9,0,0,0,0,1,0
150010201002035,8,8,0,2,0,1,2,0,0,0,0,0,0,5,5,0,2,0,1,2,0,0,0,0,0,0
150010201002036,10,8,0,2,0,0,7,0,0,0,0,0,1,8,7,0,2,0,0,5,0,0,0,0,0,1
150010201002037,5,5,0,0,0,0,3,0,0,0,0,1,1,4,4,0,0,0,0,3,0,0,0,0,1,1
150010201002038,8,3,0,1,0,0,1,0,0,0,0,0,3,5,4,0,1,0,0,1,0,0,0,0,1,1
150010201002039,8,6,0,0,0,0,6,0,1,0,0,1,1,9,7,0,0,0,0,6,0,1,0,0,2,1
150010201002040,25,26,1,13,0,2,9,0,1,0,0,1,0,22,23,1,11,0,0,9,0,0,0,0,1,0
150010201002041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201002042,3,1,0,0,0,0,2,0,0,0,0,0,1,4,2,0,0,0,0,2,0,0,0,0,0,2
150010201002043,11,10,1,3,0,0,4,0,0,0,0,2,1,8,7,0,2,0,0,5,0,0,0,0,1,1
150010201002044,2,3,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0
150010201002045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201002046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201002047,77,65,3,27,1,1,27,4,2,0,0,6,10,72,64,3,23,0,1,28,3,2,0,0,6,8
150010201002048,13,13,1,6,0,0,3,4,1,0,0,2,0,11,11,1,4,0,0,3,3,1,0,0,2,0
150010201002049,41,39,2,9,0,1,15,0,5,0,0,9,3,40,37,2,8,0,1,15,0,4,0,0,10,2
150010201002050,31,31,1,6,0,1,15,4,1,0,0,6,0,28,28,1,6,0,2,13,3,1,0,0,5,1
150010201002051,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0
150010201002052,3,3,0,0,0,0,2,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0
150010201002053,4,5,0,0,0,0,5,0,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,0,0
150010201002054,28,25,1,5,0,0,17,0,0,0,0,4,2,26,25,1,4,0,0,18,0,0,0,0,3,1
150010201002055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201002056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003000,25,25,1,12,0,0,14,1,3,0,0,2,0,22,21,1,12,0,0,11,1,0,0,0,0,0
150010201003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003002,6,6,0,0,0,0,12,0,0,0,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0
150010201003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
